Institution,Address,Lat,Long
Fontbonne University,"6800 Wydown Blvd, St. Louis, MO 63105",38.6422794,-90.3151104
Harris-Stowe State University,"â€‹3026 Laclede Ave, St. Louis, MO 63103",38.6319589,-90.2240265
Ranken Technical College  ,"4431 Finney Ave, St. Louis, MO 63113",38.6529729,-90.2484309
Saint Louis University,"1 N Grand Blvd, St. Louis, MO 63103",38.634991,-90.2343699
St. Louis College of Pharmacy  ,"1 Pharmacy Place, St. Louis, MO 63110",38.6365934,-90.2611776
St. Louis Community College,"3221 McKelvey Rd, Bridgeton, MO 63044",38.7456585,-90.4371196
UMSL Neighborhood Leadership Academy,"469 Marillac Hall, University of Missouri - St. Louis, One University Boulevard, St. Louis, MO 63121-4400 ",38.7038456,-90.3076167
University of Missouri-St. Louis,"1 University Blvd, St. Louis, MO 63121",38.7096165,-90.3080331
Washington University in St. Louis ,"1 Brookings Dr, St. Louis, MO 63130",38.6482436,-90.3049314
Webster University,"470 E Lockwood Ave, Webster Groves, MO 63119",38.5905133,-90.3460372