Branch Name,Address,Lat ,Long
Baden Library,"8448 Church Road
St. Louis MO 63147",38.7149707,-90.2327487
Barr Library,"1701 South Jefferson Ave
St. Louis MO 63104",38.6145509,-90.2213976
Buder Library,"4401 Hampton Ave
St. Louis MO 63109",38.5904057,-90.2948063
Cabanne Library,"1106 Union Boulevard
St. Louis MO 63113",38.6573791,-90.2721648
Carondelet Library,"6800 Michigan Avenue
St. Louis MO 63111",38.5546939,-90.2542077
Carpenter Library,"3309 South Grand Boulevard
St. Louis MO 63118",38.5967553,-90.2434506
Central Express Library,"815 Olive Street, Suite 160
St. Louis MO 63101",38.6290975,-90.1927682
Central Library,"1301 Olive Street
St. Louis MO 63103",38.63061,-90.1994854
"Charing Cross Library
","356 N. Skinker Blvd
St. Louis MO 63130",38.6515428,-90.3000167
Divoll Library,"4234 North Grand Blvd.
St. Louis MO 63107",38.6674556,-90.2117906
"Julia Davis Library
","4415 Natural Bridge Avenue
St. Louis MO 63115",38.6703954,-90.2368834
"Kingshighway Library
","2260 South Vandeventer Avenue
St. Louis MO 63110",38.6128136,-90.2668824
"Machacek Library
","6424 Scanlan Avenue
St. Louis MO 63139",38.6047874,-90.2978531
"Marketplace Library
","6548 Manchester Avenue
St. Louis MO 63139",38.6189758,-90.2981101
"Schlafly Library
","225 North Euclid Avenue
St. Louis MO 63108",38.6440072,-90.2621509
"Walnut Park Library
","5760 West Florissant Avenue
St. Louis MO 63120",38.7037006,-90.2472266
Data source: https://slpl.bibliocommons.com/locations/list,,,