,Social Explorer - ACS 2010 (5-Year Estimates),,,,,,,,,,,,
Statistics,TOTAL (All Selected Census Tracts),,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"14,032",,,,,,,,,,,,
Under 5 Years,997,,,,,,,,,,,,
5 to 9 Years,699,,,,,,,,,,,,
10 to 14 Years,"1,110",,,,,,,,,,,,
15 to 17 Years,904,,,,,,,,,,,,
18 to 24 Years,"1,491",,,,,,,,,,,,
25 to 34 Years,"1,789",,,,,,,,,,,,
35 to 44 Years,"1,629",,,,,,,,,,,,
45 to 54 Years,"1,613",,,,,,,,,,,,
55 to 64 Years,"1,759",,,,,,,,,,,,
65 to 74 Years,"1,148",,,,,,,,,,,,
75 to 84 Years,813,,,,,,,,,,,,
85 Years and Over,80,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"14,032",,,,,,,,,,,,
White Alone,144,,,,,,,,,,,,
Black or African American Alone,"13,800",,,,,,,,,,,,
American Indian and Alaska Native Alone,0,,,,,,,,,,,,
Asian Alone,0,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,0,,,,,,,,,,,,
Some Other Race Alone,24,,,,,,,,,,,,
Two or More Races,64,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"8,831",,,,,,,,,,,,
Less than High School,"2,522",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"3,239",,,,,,,,,,,,
Some College,"2,395",,,,,,,,,,,,
Bachelor's Degree,517,,,,,,,,,,,,
Master's Degree,122,,,,,,,,,,,,
Professional School Degree,36,,,,,,,,,,,,
Doctorate Degree,0,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2010 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"3,558",,,,,,,,,,,,
Living in Poverty,"1,897",,,,,,,,,,,,
At or Above Poverty Level,"1,661",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2010 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"8,281",,,,,,,,,,,,
Living in Poverty,"1,972",,,,,,,,,,,,
At or Above Poverty Level,"6,309",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2010 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"2,041",,,,,,,,,,,,
Living in Poverty,378,,,,,,,,,,,,
At or Above Poverty Level,"1,663",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
Â© Social Explorer 2005-2021,,,,,,,,,,,,,